utr,credited_amount,credited_date,raw_description
UTR5581901562,36639.2,2026-06-04,NEFT CR UTR5581901562 SETTLEMENT
UTR2956184854,-1198.08,2026-06-12,NEFT DR UTR2956184854 REFUND
UTR6241942369,27865.23,2026-06-05,NEFT CR UTR6241942369 SETTLEMENT DELAYED
UTR2107797516,37635.97,2026-06-11,NEFT CR UTR2107797516 SETTLEMENT
UTR6971499661,25616.89,2026-06-03,NEFT CR UTR6971499661 SETTLEMENT
UTR7673638420,20939.22,2026-06-22,NEFT CR UTR7673638420 SETTLEMENT
UTR8998142403,5220.3,2026-06-20,NEFT CR UTR8998142403 SETTLEMENT
UTR0223512670,30780.08,2026-06-18,NEFT CR UTR0223512670 SETTLEMENT
UTR9156403368,5168.61,2026-06-08,NEFT CR UTR9156403368 SETTLEMENT
UTR9040771452,12061.36,2026-06-12,NEFT CR UTR9040771452 SETTLEMENT
UTR3704990229,32952.21,2026-06-07,NEFT CR UTR3704990229 SETTLEMENT
UTR6026850785,7739.8,2026-06-04,NEFT CR UTR6026850785 SETTLEMENT ADJ
UTR7343538819,23785.4,2026-06-25,NEFT CR UTR7343538819 SETTLEMENT DELAYED
UTR2062980262,28922.21,2026-06-03,NEFT CR UTR2062980262 SETTLEMENT
UTR5006532632,45997.24,2026-06-06,NEFT CR UTR5006532632 SETTLEMENT
UTR4428714227,10098.38,2026-06-20,NEFT CR UTR4428714227 SETTLEMENT
UTR1100452277,8413.55,2026-06-09,NEFT CR UTR1100452277 SETTLEMENT
UTR1473653527,9118.71,2026-06-11,NEFT CR UTR1473653527 SETTLEMENT
UTR5956048123,24775.82,2026-06-11,NEFT CR UTR5956048123 SETTLEMENT DELAYED
UTR8115114808,5244.91,2026-06-23,NEFT CR UTR8115114808 SETTLEMENT
UTR0762754008,20960.38,2026-06-23,NEFT CR UTR0762754008 SETTLEMENT
UTR1375216695,2469.91,2026-06-16,NEFT CR UTR1375216695 UNKNOWN CREDIT
UTR0220212633,28392.67,2026-06-14,NEFT CR UTR0220212633 SETTLEMENT
UTR4781044476,35449.13,2026-06-07,NEFT CR UTR4781044476 SETTLEMENT
UTR1642607714,22499.29,2026-06-05,NEFT CR UTR1642607714 SETTLEMENT
UTR5403990366,26857.57,2026-06-07,NEFT CR UTR5403990366 SETTLEMENT
UTR4853292475,17642.27,2026-06-07,NEFT CR UTR4853292475 BATCH SETTLEMENT
UTR4547372211,9143.63,2026-06-18,NEFT CR UTR4547372211 BATCH SETTLEMENT
UTR7562240364,36905.01,2026-06-12,NEFT CR UTR7562240364 SETTLEMENT
UTR0837908549,16480.3,2026-06-16,NEFT CR UTR0837908549 SETTLEMENT
UTR5354259618,8220.42,2026-06-23,NEFT CR UTR5354259618 SETTLEMENT
UTR8720907476,11102.17,2026-06-15,NEFT CR UTR8720907476 BATCH SETTLEMENT
UTR8687593586,4970.77,2026-06-06,NEFT CR UTR8687593586 SETTLEMENT
UTR3876210248,25400.92,2026-06-12,NEFT CR UTR3876210248 SETTLEMENT
UTR1876960826,42984.91,2026-06-05,NEFT CR UTR1876960826 SETTLEMENT
UTR7921714197,38192.61,2026-06-14,NEFT CR UTR7921714197 SETTLEMENT
UTR4941847827,30098.78,2026-06-17,NEFT CR UTR4941847827 SETTLEMENT
UTR6725448936,2762.4,2026-06-10,NEFT CR UTR6725448936 SETTLEMENT
UTR4095724861,11558.5,2026-06-04,NEFT CR UTR4095724861 SETTLEMENT
UTR2718828437,39261.67,2026-06-16,NEFT CR UTR2718828437 SETTLEMENT
UTR7820059367,10532.93,2026-06-15,NEFT CR UTR7820059367 SETTLEMENT DELAYED
UTR1223685290,13270.31,2026-06-07,NEFT CR UTR1223685290 SETTLEMENT
UTR2677641207,13305.94,2026-06-15,NEFT CR UTR2677641207 SETTLEMENT
UTR7634657976,15175.02,2026-06-03,NEFT CR UTR7634657976 SETTLEMENT
UTR6171396568,32878.98,2026-06-09,NEFT CR UTR6171396568 SETTLEMENT
UTR9484060153,-5769.88,2026-06-17,NEFT DR UTR9484060153 REFUND
UTR0369370661,28293.04,2026-06-11,NEFT CR UTR0369370661 SETTLEMENT DELAYED
UTR3207356830,11262.51,2026-06-10,NEFT CR UTR3207356830 SETTLEMENT
UTR3199954139,25024.45,2026-06-23,NEFT CR UTR3199954139 SETTLEMENT
UTR1725759823,-11400.33,2026-06-06,NEFT DR UTR1725759823 REFUND
UTR2117550026,5869.03,2026-06-23,NEFT CR UTR2117550026 SETTLEMENT
UTR3651637154,24998.34,2026-06-12,NEFT CR UTR3651637154 SETTLEMENT
UTR4591145537,39352.28,2026-06-08,NEFT CR UTR4591145537 SETTLEMENT
UTR2583295001,12408.15,2026-06-07,NEFT CR UTR2583295001 SETTLEMENT
