payment_id,amount,customer,timestamp,status
PAY0041,28538.74,Acme Retail,2026-06-01 11:00:00,success
PAY0014,36305.95,Jupiter Mart,2026-06-05 17:00:00,success
PAY0044,3766.15,Ishaan Exports,2026-06-05 19:00:00,success
PAY0028,9339.11,Acme Retail,2026-06-09 12:00:00,success
PAY0047,3022.97,Ferrow Motors,2026-06-13 15:00:00,success
PAY0056,2829.16,Ganges Traders,2026-06-08 20:00:00,success
PAY0012,21445.33,Ishaan Exports,2026-06-20 11:00:00,success
PAY0051,2706.77,Dhruv Textiles,2026-06-16 14:00:00,success
PAY0011,12352.89,Jupiter Mart,2026-06-10 11:00:00,success
PAY0057,6267.42,Bluepeak Foods,2026-06-09 19:00:00,success
PAY0037,16878.63,Ganges Traders,2026-06-14 15:00:00,success
PAY0025,39115.75,Jupiter Mart,2026-06-12 14:00:00,success
PAY0002,10342.46,Ishaan Exports,2026-06-18 18:00:00,success
PAY0031,15541.81,Ganges Traders,2026-06-01 11:00:00,success
PAY0040,10787.52,Everstone Labs,2026-06-11 14:00:00,success
PAY0061,5293.51,Harlow Stores,2026-06-06 18:00:00,success
PAY0039,25374.66,Jupiter Mart,2026-06-06 10:00:00,success
PAY0054,1198.08,Cedar Logistics,2026-06-10 16:00:00,refunded
PAY0059,2569.44,Everstone Labs,2026-06-15 11:00:00,success
PAY0020,33748.67,Harlow Stores,2026-06-05 12:00:00,success
PAY0046,6561.49,Harlow Stores,2026-06-05 16:00:00,success
PAY0042,28976.9,Jupiter Mart,2026-06-06 09:00:00,success
PAY0052,2796.55,Ferrow Motors,2026-06-16 17:00:00,success
PAY0016,5346.48,Ishaan Exports,2026-06-18 18:00:00,success
PAY0023,21467.0,Acme Retail,2026-06-21 12:00:00,success
PAY0015,5371.68,Ferrow Motors,2026-06-21 14:00:00,success
PAY0010,25629.31,Cedar Logistics,2026-06-21 11:00:00,success
PAY0005,33673.67,Bluepeak Foods,2026-06-07 19:00:00,success
PAY0018,37524.79,Acme Retail,2026-06-02 08:00:00,success
PAY0009,38545.64,Bluepeak Foods,2026-06-09 13:00:00,success
PAY0007,12708.06,Ishaan Exports,2026-06-05 16:00:00,success
PAY0038,37797.02,Ishaan Exports,2026-06-10 14:00:00,success
PAY0029,26236.06,Ishaan Exports,2026-06-01 20:00:00,success
PAY0058,8629.64,Bluepeak Foods,2026-06-07 12:00:00,success
PAY0024,27506.72,Jupiter Mart,2026-06-05 13:00:00,success
PAY0034,40303.44,Ishaan Exports,2026-06-06 19:00:00,success
PAY0013,29621.28,Jupiter Mart,2026-06-01 11:00:00,success
PAY0004,29078.93,Bluepeak Foods,2026-06-12 19:00:00,success
PAY0060,8336.54,Ferrow Motors,2026-06-02 19:00:00,success
PAY0050,3861.31,Bluepeak Foods,2026-06-16 08:00:00,success
PAY0035,30826.29,Ishaan Exports,2026-06-15 19:00:00,success
PAY0001,6010.89,Everstone Labs,2026-06-21 19:00:00,success
PAY0033,23043.1,Jupiter Mart,2026-06-03 18:00:00,success
PAY0055,5769.88,Everstone Labs,2026-06-15 08:00:00,refunded
PAY0008,8419.11,Ganges Traders,2026-06-21 18:00:00,success
PAY0048,1863.8,Ferrow Motors,2026-06-13 11:00:00,success
PAY0017,13627.55,Harlow Stores,2026-06-13 20:00:00,success
PAY0021,44023.88,Everstone Labs,2026-06-03 13:00:00,success
PAY0006,11837.88,Ferrow Motors,2026-06-02 08:00:00,success
PAY0030,25602.56,Ganges Traders,2026-06-10 18:00:00,success
PAY0003,5090.92,Ferrow Motors,2026-06-04 09:00:00,success
PAY0036,31524.05,Harlow Stores,2026-06-16 12:00:00,success
PAY0049,6483.74,Everstone Labs,2026-06-13 13:00:00,success
PAY0053,11400.33,Cedar Logistics,2026-06-04 20:00:00,refunded
PAY0026,40210.64,Dhruv Textiles,2026-06-14 19:00:00,success
PAY0043,24360.31,Jupiter Mart,2026-06-20 20:00:00,success
PAY0019,47109.01,Dhruv Textiles,2026-06-04 17:00:00,success
PAY0032,26014.87,Jupiter Mart,2026-06-10 18:00:00,success
PAY0045,7741.05,Jupiter Mart,2026-06-05 12:00:00,success
PAY0027,11534.72,Dhruv Textiles,2026-06-08 18:00:00,success
PAY0022,13591.06,Ishaan Exports,2026-06-05 09:00:00,success
