settlement_id,payment_ids,gross_amount,mdr_fee,gst_on_fee,net_amount,utr,settled_date
STL0004,PAY0004,29078.93,581.58,104.68,28392.67,UTR0220212633,2026-06-14
STL0054,PAY0060,8336.54,166.73,30.01,8139.8,UTR6026850785,2026-06-04
STL0046,PAY0050|PAY0051|PAY0052,9364.63,187.29,33.71,9143.63,UTR4547372211,2026-06-18
STL0035,PAY0035,30826.29,616.53,110.98,30098.78,UTR4941847827,2026-06-17
STL0006,PAY0006,11837.88,236.76,42.62,11558.5,UTR4095724861,2026-06-04
STL0045,PAY0047|PAY0048|PAY0049,11370.51,227.41,40.93,11102.17,UTR8720907476,2026-06-15
STL0017,PAY0017,13627.55,272.55,49.06,13305.94,UTR2677641207,2026-06-15
STL0048,PAY0054,1198.08,23.96,4.31,-1198.08,UTR2956184854,2026-06-12
STL0028,PAY0028,9339.11,186.78,33.62,9118.71,UTR1473653527,2026-06-11
STL0003,PAY0003,5090.92,101.82,18.33,4970.77,UTR8687593586,2026-06-06
STL0037,PAY0037,16878.63,337.57,60.76,16480.3,UTR0837908549,2026-06-16
STL0024,PAY0024,27506.72,550.13,99.02,26857.57,UTR5403990366,2026-06-07
STL0026,PAY0026,40210.64,804.21,144.76,39261.67,UTR2718828437,2026-06-16
STL0021,PAY0021,44023.88,880.48,158.49,42984.91,UTR1876960826,2026-06-05
STL0012,PAY0012,21445.33,428.91,77.2,20939.22,UTR7673638420,2026-06-22
STL0034,PAY0034,40303.44,806.07,145.09,39352.28,UTR4591145537,2026-06-08
STL0002,PAY0002,10342.46,206.85,37.23,10098.38,UTR4428714227,2026-06-20
STL0014,PAY0014,36305.95,726.12,130.7,35449.13,UTR4781044476,2026-06-07
STL0042,PAY0042,28976.9,579.54,104.32,28293.04,UTR0369370661,2026-06-08
STL0043,PAY0043,24360.31,487.21,87.7,23785.4,UTR7343538819,2026-06-22
STL0038,PAY0038,37797.02,755.94,136.07,36905.01,UTR7562240364,2026-06-12
STL0008,PAY0008,8419.11,168.38,30.31,8220.42,UTR5354259618,2026-06-23
STL0052,PAY0058,8629.64,172.59,43.5,8413.55,UTR1100452277,2026-06-09
STL0007,PAY0007,12708.06,254.16,45.75,12408.15,UTR2583295001,2026-06-07
STL0041,PAY0041,28538.74,570.77,102.74,27865.23,UTR6241942369,2026-06-03
STL0015,PAY0015,5371.68,107.43,19.34,5244.91,UTR8115114808,2026-06-23
STL0049,PAY0055,5769.88,115.4,20.77,-5769.88,UTR9484060153,2026-06-17
STL0053,PAY0059,2569.44,51.39,9.25,2508.8,UTR7669456980,2026-06-17
STL0050,PAY0056,2829.16,56.58,10.18,2762.4,UTR6725448936,2026-06-10
STL0040,PAY0040,10787.52,215.75,38.84,10532.93,UTR7820059367,2026-06-13
STL0011,PAY0011,12352.89,247.06,44.47,12061.36,UTR9040771452,2026-06-12
STL0023,PAY0023,21467.0,429.34,77.28,20960.38,UTR0762754008,2026-06-23
STL0055,PAY0061,5293.51,105.87,19.06,5168.58,UTR9156403368,2026-06-08
STL0029,PAY0029,26236.06,524.72,94.45,25616.89,UTR6971499661,2026-06-03
STL0051,PAY0057,6267.42,125.35,22.56,6119.51,UTR6725448936,2026-06-11
STL0032,PAY0032,26014.87,520.3,93.65,25400.92,UTR3876210248,2026-06-12
STL0020,PAY0020,33748.67,674.97,121.49,32952.21,UTR3704990229,2026-06-07
STL0019,PAY0019,47109.01,942.18,169.59,45997.24,UTR5006532632,2026-06-06
STL0001,PAY0001,6010.89,120.22,21.64,5869.03,UTR2117550026,2026-06-23
STL0044,PAY0044|PAY0045|PAY0046,18068.69,361.37,65.05,17642.27,UTR4853292475,2026-06-07
STL0047,PAY0053,11400.33,228.01,41.04,-11400.33,UTR1725759823,2026-06-06
STL0022,PAY0022,13591.06,271.82,48.93,13270.31,UTR1223685290,2026-06-07
STL0027,PAY0027,11534.72,230.69,41.52,11262.51,UTR3207356830,2026-06-10
STL0018,PAY0018,37524.79,750.5,135.09,36639.2,UTR5581901562,2026-06-04
STL0005,PAY0005,33673.67,673.47,121.22,32878.98,UTR6171396568,2026-06-09
STL0009,PAY0009,38545.64,770.91,138.76,37635.97,UTR2107797516,2026-06-11
STL0033,PAY0033,23043.1,460.86,82.95,22499.29,UTR1642607714,2026-06-05
STL0039,PAY0039,25374.66,507.49,91.35,24775.82,UTR5956048123,2026-06-08
STL0013,PAY0013,29621.28,592.43,106.64,28922.21,UTR2062980262,2026-06-03
STL0025,PAY0025,39115.75,782.32,140.82,38192.61,UTR7921714197,2026-06-14
STL0010,PAY0010,25629.31,512.59,92.27,25024.45,UTR3199954139,2026-06-23
STL0036,PAY0036,31524.05,630.48,113.49,30780.08,UTR0223512670,2026-06-18
STL0030,PAY0030,25602.56,512.05,92.17,24998.34,UTR3651637154,2026-06-12
STL0016,PAY0016,5346.48,106.93,19.25,5220.3,UTR8998142403,2026-06-20
STL0031,PAY0031,15541.81,310.84,55.95,15175.02,UTR7634657976,2026-06-03
