utr,credited_amount,credited_date,raw_description,currency
UTR8243891122,5989.74,2026-06-20,NEFT CR SETTLEMENT UTR8243891122,INR
UTR7350026662,4255.93,2026-06-22,WIRE CR FX UTR7350026662,USD
UTR9767450729,8350.11,2026-06-07,NEFT CR NOREF UTR9767450729,INR
UTR0949607992,8109.82,2026-06-05,NEFT CR SHORT UTR0949607992,INR
UTR7808364389,-8554.28,2026-06-07,NEFT DR REFUND UTR7808364389,INR
UTR1107123804,1204.11,2026-06-14,NEFT CR SETTLEMENT UTR1107123804,INR
UTR7953042059,6413.68,2026-06-19,WIRE CR FX UTR7953042059,USD
UTR0243467330,13128.15,2026-06-18,NEFT CR NOREF UTR0243467330,INR
UTR0720380978,3828.14,2026-06-15,WIRE CR FX UTR0720380978,USD
UTR8744533029,-3841.93,2026-06-14,NEFT DR REFUND UTR8744533029,INR
UTR3738071543,509.02,2026-06-16,NEFT CR UNKNOWN UTR3738071543,INR
UTR2648092061,5620.72,2026-06-11,WIRE CR FX UTR2648092061,USD
UTR6088678155,5639.79,2026-06-18,NEFT CR SHORT UTR6088678155,INR
UTR0064096808,14686.04,2026-06-19,NEFT CR SHORT UTR0064096808,INR
UTR2609818757,15034.16,2026-06-15,NEFT CR SHORT UTR2609818757,INR
UTR4514106249,1023.49,2026-06-15,NEFT CR UNKNOWN UTR4514106249,INR
UTR5437452153,-6506.65,2026-06-09,NEFT DR REFUND UTR5437452153,INR
UTR9409954472,-1354.68,2026-06-07,NEFT DR REFUND UTR9409954472,INR
UTR7633370172,2738.37,2026-06-03,NEFT CR UNKNOWN UTR7633370172,INR
UTR6620131856,20181.13,2026-06-03,NEFT CR SHORT UTR6620131856,INR
UTR4870009278,1706.71,2026-06-11,NEFT CR UNKNOWN UTR4870009278,INR
UTR9684229730,8549.29,2026-06-03,NEFT CR NOREF UTR9684229730,INR
UTR1406758365,10378.27,2026-06-06,NEFT CR SETTLEMENT UTR1406758365,INR
UTR9460769823,15720.36,2026-06-21,NEFT CR SETTLEMENT UTR9460769823,INR
UTR3034525020,23172.5,2026-06-04,NEFT CR SHORT UTR3034525020,INR
UTR2466658932,23438.54,2026-06-20,NEFT CR SHORT UTR2466658932,INR
UTR2409805748,10255.23,2026-06-23,WIRE CR FX UTR2409805748,USD
UTR1654378941,3865.22,2026-06-05,NEFT CR SETTLEMENT UTR1654378941,INR
UTR1510756457,6564.19,2026-06-21,NEFT CR SETTLEMENT UTR1510756457,INR
UTR3907692758,487.32,2026-06-03,NEFT CR UNKNOWN UTR3907692758,INR
UTR2762558729,11758.58,2026-06-17,NEFT CR SETTLEMENT UTR2762558729,INR
UTR2661055326,10889.58,2026-06-23,NEFT CR NOREF UTR2661055326,INR
UTR3725130207,6763.34,2026-06-08,NEFT CR SHORT UTR3725130207,INR
UTR2792635311,-6194.02,2026-06-08,NEFT DR REFUND UTR2792635311,INR
UTR0805920425,18550.63,2026-06-13,NEFT CR SETTLEMENT UTR0805920425,INR
UTR5601203393,21129.04,2026-06-15,NEFT CR SHORT UTR5601203393,INR
UTR9059005471,8091.6,2026-06-17,NEFT CR SETTLEMENT UTR9059005471,INR
UTR6194377407,3541.75,2026-06-11,WIRE CR FX UTR6194377407,USD
UTR6430107210,9790.77,2026-06-10,NEFT CR SHORT UTR6430107210,INR
UTR9647431333,8109.28,2026-06-18,WIRE CR FX UTR9647431333,USD
UTR6505025145,16282.02,2026-06-04,NEFT CR SETTLEMENT UTR6505025145,INR
UTR2499324491,3361.92,2026-06-10,NEFT CR UNKNOWN UTR2499324491,INR
UTR2094618495,-11047.66,2026-06-15,NEFT DR REFUND UTR2094618495,INR
UTR5159185872,7996.3,2026-06-11,WIRE CR FX UTR5159185872,USD
UTR2804271428,8459.03,2026-06-06,NEFT CR SETTLEMENT UTR2804271428,INR
