payment_id,amount,customer,timestamp,status,currency
LOW0058,8982.71,Cedar Logistics,2026-06-05 10:00:00,success,INR
LOW0045,11047.66,Everstone Labs,2026-06-13 16:00:00,refunded,INR
LOW0031,10539.5,Ferrow Motors,2026-06-08 19:00:00,success,INR
LOW0028,8817.92,Dhruv Textiles,2026-06-03 09:00:00,success,INR
LOW0033,24244.67,Bluepeak Foods,2026-06-02 12:00:00,success,INR
LOW0007,1233.21,Cedar Logistics,2026-06-12 15:00:00,success,INR
LOW0034,15909.62,Acme Retail,2026-06-13 14:00:00,success,INR
LOW0039,4358.8,Ferrow Motors,2026-06-20 12:00:00,success,INR
LOW0005,10629.11,Cedar Logistics,2026-06-04 10:00:00,success,INR
LOW0025,7647.0,Ferrow Motors,2026-06-07 09:00:00,success,INR
LOW0006,16100.33,Acme Retail,2026-06-19 09:00:00,success,INR
LOW0051,8551.94,Acme Retail,2026-06-05 18:00:00,success,INR
LOW0056,8275.33,Dhruv Textiles,2026-06-07 15:00:00,success,INR
LOW0014,5082.4,Bluepeak Foods,2026-06-21 20:00:00,success,INR
LOW0020,3310.65,Everstone Labs,2026-06-17 10:00:00,success,INR
LOW0053,8755.93,Cedar Logistics,2026-06-01 15:00:00,success,INR
LOW0001,18999.01,Ferrow Motors,2026-06-11 14:00:00,success,INR
LOW0022,12437.84,Ferrow Motors,2026-06-17 11:00:00,success,INR
LOW0002,16675.56,Bluepeak Foods,2026-06-02 09:00:00,success,INR
LOW0015,19165.09,Ferrow Motors,2026-06-20 15:00:00,success,INR
LOW0023,16928.0,Dhruv Textiles,2026-06-07 10:00:00,success,INR
LOW0004,12042.79,Cedar Logistics,2026-06-15 15:00:00,success,INR
LOW0021,10989.95,Acme Retail,2026-06-17 15:00:00,success,INR
LOW0059,3958.64,Dhruv Textiles,2026-06-03 13:00:00,success,INR
LOW0026,19456.56,Acme Retail,2026-06-08 09:00:00,success,INR
LOW0041,8189.57,Acme Retail,2026-06-09 11:00:00,success,INR
LOW0052,11152.79,Ferrow Motors,2026-06-21 10:00:00,success,INR
LOW0060,5927.9,Bluepeak Foods,2026-06-05 20:00:00,success,INR
LOW0032,22151.83,Cedar Logistics,2026-06-13 18:00:00,success,INR
LOW0003,6722.85,Bluepeak Foods,2026-06-19 18:00:00,success,INR
LOW0011,2765.69,Bluepeak Foods,2026-06-02 17:00:00,success,INR
LOW0057,8287.17,Ferrow Motors,2026-06-15 13:00:00,success,INR
LOW0047,6506.65,Dhruv Textiles,2026-06-07 20:00:00,refunded,INR
LOW0010,18071.03,Ferrow Motors,2026-06-15 20:00:00,success,INR
LOW0036,21181.0,Ferrow Motors,2026-06-01 17:00:00,success,INR
LOW0038,5756.57,Bluepeak Foods,2026-06-09 20:00:00,success,INR
LOW0012,17099.59,Dhruv Textiles,2026-06-04 15:00:00,success,INR
LOW0055,8663.49,Everstone Labs,2026-06-04 15:00:00,success,INR
LOW0029,7438.9,Ferrow Motors,2026-06-06 12:00:00,success,INR
LOW0013,14049.3,Everstone Labs,2026-06-05 08:00:00,success,INR
LOW0042,8305.29,Acme Retail,2026-06-16 10:00:00,success,INR
LOW0017,9692.68,Acme Retail,2026-06-13 19:00:00,success,INR
LOW0024,3545.2,Dhruv Textiles,2026-06-12 10:00:00,success,INR
LOW0046,6194.02,Cedar Logistics,2026-06-06 13:00:00,refunded,INR
LOW0037,10503.1,Dhruv Textiles,2026-06-21 11:00:00,success,INR
LOW0018,3793.52,Bluepeak Foods,2026-06-12 16:00:00,success,INR
LOW0054,13445.46,Dhruv Textiles,2026-06-16 18:00:00,success,INR
LOW0019,6424.96,Everstone Labs,2026-06-07 11:00:00,success,INR
LOW0008,6134.51,Dhruv Textiles,2026-06-18 10:00:00,success,INR
LOW0049,8554.28,Ferrow Motors,2026-06-05 16:00:00,refunded,INR
LOW0043,3920.66,Ferrow Motors,2026-06-13 11:00:00,success,INR
LOW0050,1354.68,Dhruv Textiles,2026-06-05 19:00:00,refunded,INR
LOW0035,6288.19,Everstone Labs,2026-06-16 19:00:00,success,INR
LOW0048,3841.93,Bluepeak Foods,2026-06-12 17:00:00,refunded,INR
LOW0016,18256.62,Ferrow Motors,2026-06-16 13:00:00,success,INR
LOW0044,3627.36,Cedar Logistics,2026-06-09 18:00:00,success,INR
LOW0040,6568.7,Dhruv Textiles,2026-06-17 15:00:00,success,INR
LOW0030,24517.14,Dhruv Textiles,2026-06-18 16:00:00,success,INR
LOW0027,15553.09,Cedar Logistics,2026-06-17 19:00:00,success,INR
LOW0009,16757.0,Cedar Logistics,2026-06-16 10:00:00,success,INR
