settlement_id,payment_ids,gross_amount,mdr_fee,gst_on_fee,net_amount,utr,settled_date,currency
LST0019,LOW0019,6424.96,128.5,23.13,6273.33,UTR3580786858,2026-06-09,INR
LST0037,LOW0037,10503.1,210.06,37.81,10255.23,UTR2409805748,2026-06-23,INR
LST0034,LOW0034,15909.62,318.19,57.27,15534.16,UTR2609818757,2026-06-15,INR
LST0031,LOW0031,10539.5,210.79,37.94,10290.77,UTR6430107210,2026-06-10,INR
LST0008,LOW0008,6134.51,122.69,22.08,5989.74,UTR8243891122,2026-06-20,INR
LST0057,LOW0057,8287.17,165.74,29.83,8091.6,UTR9059005471,2026-06-17,INR
LST0030,LOW0030,24517.14,490.34,88.26,23938.54,UTR2466658932,2026-06-20,INR
LST0032,LOW0032,22151.83,443.04,79.75,21629.04,UTR5601203393,2026-06-15,INR
LST0060,LOW0060,5927.9,118.56,21.34,5788.0,UTR1654378941,2026-06-07,INR
LST0025,LOW0025,7647.0,152.94,27.53,7466.53,UTR3347352919,2026-06-09,INR
LST0028,LOW0028,8817.92,176.36,31.74,8609.82,UTR0949607992,2026-06-05,INR
LST0015,LOW0015,19165.09,383.3,68.99,18712.8,UTR9932212698,2026-06-22,INR
LST0042,LOW0042,8305.29,166.11,29.9,8109.28,UTR9647431333,2026-06-18,INR
LST0009,LOW0009,16757.0,335.14,60.33,16361.53,UTR2156318967,2026-06-18,INR
LST0011,LOW0011,2765.69,55.31,9.96,2700.42,UTR5960236964,2026-06-04,INR
LST0005,LOW0005,10629.11,212.58,38.26,10378.27,UTR1406758365,2026-06-06,INR
LST0013,LOW0013,14049.3,280.99,50.58,13717.73,UTR2608593255,2026-06-07,INR
LST0004,LOW0004,12042.79,240.86,43.35,11758.58,UTR2762558729,2026-06-17,INR
LST0035,LOW0035,6288.19,125.76,22.64,6139.79,UTR6088678155,2026-06-18,INR
LST0026,LOW0026,19456.56,389.13,70.04,18997.39,UTR2072149821,2026-06-10,INR
LST0045,LOW0045,11047.66,220.95,39.77,-11047.66,UTR2094618495,2026-06-15,INR
LST0018,LOW0018,3793.52,75.87,13.66,3703.99,UTR0771719180,2026-06-14,INR
LST0016,LOW0016,18256.62,365.13,65.72,17825.77,UTR0697741738,2026-06-18,INR
LST0002,LOW0002,16675.56,333.51,60.03,16282.02,UTR6505025145,2026-06-04,INR
LST0053,LOW0053,8755.93,175.12,31.52,8549.29,,2026-06-03,INR
LST0036,LOW0036,21181.0,423.62,76.25,20681.13,UTR6620131856,2026-06-03,INR
LST0047,LOW0047,6506.65,130.13,23.42,-6506.65,UTR5437452153,2026-06-09,INR
LST0020,LOW0020,3310.65,66.21,11.92,3232.52,UTR5876711610,2026-06-19,INR
LST0006,LOW0006,16100.33,322.01,57.96,15720.36,UTR9460769823,2026-06-21,INR
LST0058,LOW0058,8982.71,179.65,32.34,8770.72,UTR9059005471,2026-06-07,INR
LST0049,LOW0049,8554.28,171.09,30.8,-8554.28,UTR7808364389,2026-06-07,INR
LST0027,LOW0027,15553.09,311.06,55.99,15186.04,UTR0064096808,2026-06-19,INR
LST0021,LOW0021,10989.95,219.8,39.56,10730.59,UTR8010040803,2026-06-19,INR
LST0051,LOW0051,8551.94,171.04,30.79,8350.11,,2026-06-07,INR
LST0038,LOW0038,5756.57,115.13,20.72,5620.72,UTR2648092061,2026-06-11,INR
LST0048,LOW0048,3841.93,76.84,13.83,-3841.93,UTR8744533029,2026-06-14,INR
LST0055,LOW0055,8663.49,173.27,31.19,8459.03,UTR2804271428,2026-06-06,INR
LST0044,LOW0044,3627.36,72.55,13.06,3541.75,UTR6194377407,2026-06-11,INR
LST0052,LOW0052,11152.79,223.06,40.15,10889.58,,2026-06-23,INR
LST0010,LOW0010,18071.03,361.42,65.06,17644.55,UTR7331600213,2026-06-17,INR
LST0022,LOW0022,12437.84,248.76,44.78,12144.3,UTR2585258998,2026-06-19,INR
LST0024,LOW0024,3545.2,70.9,12.76,3461.54,UTR2934981453,2026-06-14,INR
LST0003,LOW0003,6722.85,134.46,24.2,6564.19,UTR1510756457,2026-06-21,INR
LST0014,LOW0014,5082.4,101.65,18.3,4962.45,UTR8872530022,2026-06-23,INR
LST0023,LOW0023,16928.0,338.56,60.94,16528.5,UTR1402067817,2026-06-09,INR
LST0040,LOW0040,6568.7,131.37,23.65,6413.68,UTR7953042059,2026-06-19,INR
LST0046,LOW0046,6194.02,123.88,22.3,-6194.02,UTR2792635311,2026-06-08,INR
LST0059,LOW0059,3958.64,79.17,14.25,3865.22,UTR1654378941,2026-06-05,INR
LST0041,LOW0041,8189.57,163.79,29.48,7996.3,UTR5159185872,2026-06-11,INR
LST0007,LOW0007,1233.21,24.66,4.44,1204.11,UTR1107123804,2026-06-14,INR
LST0001,LOW0001,18999.01,379.98,68.4,18550.63,UTR0805920425,2026-06-13,INR
LST0043,LOW0043,3920.66,78.41,14.11,3828.14,UTR0720380978,2026-06-15,INR
LST0054,LOW0054,13445.46,268.91,48.4,13128.15,,2026-06-18,INR
LST0050,LOW0050,1354.68,27.09,4.88,-1354.68,UTR9409954472,2026-06-07,INR
LST0017,LOW0017,9692.68,193.85,34.89,9463.94,UTR7111981896,2026-06-15,INR
LST0039,LOW0039,4358.8,87.18,15.69,4255.93,UTR7350026662,2026-06-22,INR
LST0029,LOW0029,7438.9,148.78,26.78,7263.34,UTR3725130207,2026-06-08,INR
LST0012,LOW0012,17099.59,341.99,61.56,16696.04,UTR4013281095,2026-06-06,INR
LST0056,LOW0056,8275.33,165.51,29.79,8080.03,UTR2804271428,2026-06-09,INR
LST0033,LOW0033,24244.67,484.89,87.28,23672.5,UTR3034525020,2026-06-04,INR
