entity_id,type,payment_id,order_id,amount,fee,tax,debit,credit,currency,settlement_id,settlement_utr,created_at,settled_at,method,settled,notes
pay_Fc000000000001,payment,pay_Fc000000000001,order_Fc0000000001,175621,4144,632,0,171477,INR,setl_CLEAN0000,UTRCLN0000000000000,1767607200,1767780000,card,true,ACME
pay_Fc000000000002,payment,pay_Fc000000000002,order_Fc0000000002,37184,878,134,0,36306,INR,setl_CLEAN0001,UTRCLN0000000000001,1767693600,1767866400,card,true,ACME
pay_Fc000000000003,payment,pay_Fc000000000003,order_Fc0000000003,14556,343,52,0,14213,INR,setl_CLEAN0002,UTRCLN0000000000002,1767780000,1767952800,card,true,ACME
pay_Fc000000000004,payment,pay_Fc000000000004,order_Fc0000000004,202393,4777,729,0,197616,INR,setl_CLEAN0003,UTRCLN0000000000003,1767866400,1768039200,card,true,ACME
pay_Fc000000000005,payment,pay_Fc000000000005,order_Fc0000000005,80097,1890,288,0,78207,INR,setl_CLEAN0004,UTRCLN0000000000004,1767952800,1768125600,card,true,ACME
pay_Fc000000000006,payment,pay_Fc000000000006,order_Fc0000000006,72196,1704,260,0,70492,INR,setl_CLEAN0005,UTRCLN0000000000005,1768039200,1768212000,card,true,ACME
pay_Fc000000000007,payment,pay_Fc000000000007,order_Fc0000000007,66513,1569,239,0,64944,INR,setl_CLEAN0006,UTRCLN0000000000006,1768125600,1768298400,card,true,ACME
pay_Fc000000000008,payment,pay_Fc000000000008,order_Fc0000000008,44579,1053,161,0,43526,INR,setl_CLEAN0007,UTRCLN0000000000007,1768212000,1768384800,card,true,ACME
pay_Fc000000000009,payment,pay_Fc000000000009,order_Fc0000000009,201061,4745,724,0,196316,INR,setl_CLEAN0008,UTRCLN0000000000008,1768298400,1768471200,card,true,ACME
pay_Fc000000000010,payment,pay_Fc000000000010,order_Fc0000000010,34868,822,125,0,34046,INR,setl_CLEAN0009,UTRCLN0000000000009,1768384800,1768557600,card,true,ACME
pay_Fc000000000011,payment,pay_Fc000000000011,order_Fc0000000011,185392,4375,667,0,181017,INR,setl_CLEAN0010,UTRCLN0000000000010,1768471200,1768644000,card,true,ACME
pay_Fc000000000012,payment,pay_Fc000000000012,order_Fc0000000012,202161,4771,728,0,197390,INR,setl_CLEAN0011,UTRCLN0000000000011,1768557600,1768730400,card,true,ACME
