utr,credited_amount,credited_date,raw_description
UTR0558190156,3314.8,2026-06-20,NEFT CR UTR0558190156 SETTLEMENT
UTR2632073568,22735.48,2026-06-12,NEFT CR UTR2632073568 SETTLEMENT
UTR3276346579,27994.09,2026-06-15,NEFT CR UTR3276346579 SETTLEMENT
UTR0220212633,42136.04,2026-06-21,NEFT CR UTR0220212633 SETTLEMENT
UTR4498251982,37635.97,2026-06-13,NEFT CR UTR4498251982 SETTLEMENT
UTR5636516371,15660.3,2026-06-06,NEFT CR UTR5636516371 SETTLEMENT
UTR9085492388,3497.61,2026-06-16,NEFT CR UTR9085492388 SETTLEMENT
UTR2544893667,6096.86,2026-06-16,NEFT CR UTR2544893667 SETTLEMENT
UTR8511387882,46164.21,2026-06-07,NEFT CR UTR8511387882 SETTLEMENT
UTR8424367789,26501.37,2026-06-20,NEFT CR UTR8424367789 SETTLEMENT
UTR7257598233,-2673.77,2026-06-08,NEFT DR UTR7257598233 REFUND
UTR6915640336,5905.08,2026-06-08,NEFT CR UTR6915640336 SETTLEMENT ADJ
UTR2206298026,3582.68,2026-06-03,NEFT CR UTR2206298026 SETTLEMENT
UTR5876026850,3941.42,2026-06-09,NEFT CR UTR5876026850 UNKNOWN CREDIT
UTR0957763063,28355.74,2026-06-11,NEFT CR UTR0957763063 SETTLEMENT
UTR3704990229,6813.78,2026-06-23,NEFT CR UTR3704990229 SETTLEMENT
UTR9726776412,8445.41,2026-06-03,NEFT CR UTR9726776412 SETTLEMENT
UTR3542596187,8220.42,2026-06-16,NEFT CR UTR3542596187 SETTLEMENT
UTR0481234382,28746.13,2026-06-22,NEFT CR UTR0481234382 SETTLEMENT DELAYED
UTR5244063480,10842.65,2026-06-07,NEFT CR UTR5244063480 SETTLEMENT
UTR9561848544,-10912.26,2026-06-07,NEFT DR UTR9561848544 REFUND
UTR9767363842,13298.86,2026-06-22,NEFT CR UTR9767363842 SETTLEMENT
UTR4591145537,38110.65,2026-06-10,NEFT CR UTR4591145537 SETTLEMENT
UTR9766945698,5405.64,2026-06-17,NEFT CR UTR9766945698 SETTLEMENT
UTR8904077145,39481.07,2026-06-10,NEFT CR UTR8904077145 SETTLEMENT
UTR4428714227,27614.19,2026-06-23,NEFT CR UTR4428714227 SETTLEMENT
UTR2117550026,31392.85,2026-06-03,NEFT CR UTR2117550026 SETTLEMENT
UTR3199954139,31369.78,2026-06-22,NEFT CR UTR3199954139 SETTLEMENT
UTR8031914751,44381.16,2026-06-04,NEFT CR UTR8031914751 SETTLEMENT
UTR3435388196,20351.6,2026-06-08,NEFT CR UTR3435388196 SETTLEMENT DELAYED
UTR3801312434,21748.04,2026-06-12,NEFT CR UTR3801312434 SETTLEMENT
UTR8573316888,30032.17,2026-06-05,NEFT CR UTR8573316888 SETTLEMENT
UTR7453914781,7236.79,2026-06-20,NEFT CR UTR7453914781 SETTLEMENT
UTR1921473653,16493.27,2026-06-03,NEFT CR UTR1921473653 SETTLEMENT
UTR1045618902,-3581.09,2026-06-04,NEFT DR UTR1045618902 REFUND
UTR4382144229,32070.88,2026-06-23,NEFT CR UTR4382144229 SETTLEMENT
UTR5006532632,11856.03,2026-06-06,NEFT CR UTR5006532632 SETTLEMENT
UTR6500724489,21905.5,2026-06-20,NEFT CR UTR6500724489 SETTLEMENT
UTR6171396568,10614.06,2026-06-11,NEFT CR UTR6171396568 SETTLEMENT
UTR8687593586,5428.21,2026-06-15,NEFT CR UTR8687593586 SETTLEMENT
UTR4547372211,9143.62,2026-06-18,NEFT CR UTR4547372211 BATCH SETTLEMENT
UTR6609238109,36058.54,2026-06-05,NEFT CR UTR6609238109 SETTLEMENT
UTR6526716718,1553.47,2026-06-10,NEFT CR UTR6526716718 SETTLEMENT DELAYED
UTR1876960826,43061.95,2026-06-10,NEFT CR UTR1876960826 SETTLEMENT
UTR8461989880,12548.42,2026-06-06,NEFT CR UTR8461989880 SETTLEMENT
UTR4184782742,21878.56,2026-06-19,NEFT CR UTR4184782742 SETTLEMENT
UTR4853292475,16528.13,2026-06-17,NEFT CR UTR4853292475 BATCH SETTLEMENT
UTR2985433945,7815.27,2026-06-13,NEFT CR UTR2985433945 SETTLEMENT
UTR4095724861,37993.68,2026-06-10,NEFT CR UTR4095724861 SETTLEMENT
UTR5939158263,28293.04,2026-06-09,NEFT CR UTR5939158263 SETTLEMENT DELAYED
UTR8882718828,36087.68,2026-06-13,NEFT CR UTR8882718828 SETTLEMENT
UTR8720907476,11102.18,2026-06-15,NEFT CR UTR8720907476 BATCH SETTLEMENT
UTR0593676791,27910.31,2026-06-19,NEFT CR UTR0593676791 SETTLEMENT DELAYED
UTR8712236852,45868.38,2026-06-07,NEFT CR UTR8712236852 SETTLEMENT
