payment_id,amount,customer,timestamp,status
PAY0006,38912.0,Ferrow Motors,2026-06-08 08:00:00,success
PAY0052,2796.55,Ferrow Motors,2026-06-16 17:00:00,success
PAY0037,3582.15,Jupiter Mart,2026-06-14 14:00:00,success
PAY0058,5544.47,Dhruv Textiles,2026-06-15 09:00:00,success
PAY0051,2706.77,Dhruv Textiles,2026-06-16 14:00:00,success
PAY0033,30758.06,Ganges Traders,2026-06-03 15:00:00,success
PAY0012,13620.3,Dhruv Textiles,2026-06-20 14:00:00,success
PAY0054,10912.26,Acme Retail,2026-06-05 12:00:00,refunded
PAY0048,1863.8,Ferrow Motors,2026-06-13 11:00:00,success
PAY0022,46977.04,Bluepeak Foods,2026-06-05 12:00:00,success
PAY0026,36959.94,Ganges Traders,2026-06-11 20:00:00,success
PAY0007,7411.7,Everstone Labs,2026-06-18 16:00:00,success
PAY0031,28670.71,Acme Retail,2026-06-13 16:00:00,success
PAY0053,2673.77,Dhruv Textiles,2026-06-06 11:00:00,refunded
PAY0025,12851.72,Ishaan Exports,2026-06-04 13:00:00,success
PAY0057,8633.13,Dhruv Textiles,2026-06-15 11:00:00,success
PAY0044,5804.81,Cedar Logistics,2026-06-15 14:00:00,success
PAY0023,45453.87,Ganges Traders,2026-06-02 09:00:00,success
PAY0045,6003.46,Everstone Labs,2026-06-15 18:00:00,success
PAY0042,28976.9,Acme Retail,2026-06-04 17:00:00,success
PAY0017,8649.54,Everstone Labs,2026-06-01 14:00:00,success
PAY0010,32128.0,Cedar Logistics,2026-06-20 11:00:00,success
PAY0060,6457.48,Ishaan Exports,2026-06-06 15:00:00,success
PAY0005,10870.6,Bluepeak Foods,2026-06-09 19:00:00,success
PAY0021,44102.78,Everstone Labs,2026-06-08 13:00:00,success
PAY0028,16891.92,Everstone Labs,2026-06-01 09:00:00,success
PAY0015,32846.05,Acme Retail,2026-06-21 09:00:00,success
PAY0046,5119.34,Harlow Stores,2026-06-15 16:00:00,success
PAY0039,29440.94,Ganges Traders,2026-06-18 08:00:00,success
PAY0038,27141.92,Jupiter Mart,2026-06-18 20:00:00,success
PAY0003,5559.41,Ferrow Motors,2026-06-13 09:00:00,success
PAY0059,2571.28,Everstone Labs,2026-06-06 20:00:00,success
PAY0061,8004.13,Harlow Stores,2026-06-11 14:00:00,success
PAY0020,6978.47,Harlow Stores,2026-06-21 12:00:00,success
PAY0011,40435.35,Dhruv Textiles,2026-06-08 08:00:00,success
PAY0016,22434.97,Acme Retail,2026-06-18 09:00:00,success
PAY0002,28281.63,Ishaan Exports,2026-06-21 19:00:00,success
PAY0008,8419.11,Bluepeak Foods,2026-06-14 17:00:00,success
PAY0050,3861.31,Bluepeak Foods,2026-06-16 08:00:00,success
PAY0047,3022.97,Ferrow Motors,2026-06-13 15:00:00,success
PAY0019,12142.59,Dhruv Textiles,2026-06-04 17:00:00,success
PAY0009,38545.64,Everstone Labs,2026-06-11 09:00:00,success
PAY0036,22273.69,Everstone Labs,2026-06-10 11:00:00,success
PAY0018,3394.92,Ferrow Motors,2026-06-18 08:00:00,success
PAY0014,11104.72,Jupiter Mart,2026-06-05 19:00:00,success
PAY0055,3581.09,Harlow Stores,2026-06-02 12:00:00,refunded
PAY0029,29041.11,Ganges Traders,2026-06-09 08:00:00,success
PAY0041,1591.02,Cedar Logistics,2026-06-05 11:00:00,success
PAY0032,36930.09,Ishaan Exports,2026-06-03 12:00:00,success
PAY0049,6483.74,Everstone Labs,2026-06-13 13:00:00,success
PAY0040,28584.92,Bluepeak Foods,2026-06-14 12:00:00,success
PAY0024,47280.02,Acme Retail,2026-06-05 16:00:00,success
PAY0034,39031.81,Ishaan Exports,2026-06-08 10:00:00,success
PAY0013,3669.28,Ishaan Exports,2026-06-01 17:00:00,success
PAY0004,43154.49,Bluepeak Foods,2026-06-19 11:00:00,success
PAY0027,23285.01,Dhruv Textiles,2026-06-10 20:00:00,success
PAY0030,16038.82,Everstone Labs,2026-06-04 19:00:00,success
PAY0035,22407.38,Ishaan Exports,2026-06-17 14:00:00,success
PAY0056,6244.22,Jupiter Mart,2026-06-14 20:00:00,success
PAY0043,20843.51,Jupiter Mart,2026-06-04 20:00:00,success
PAY0001,32151.63,Everstone Labs,2026-06-01 19:00:00,success
