settlement_id,payment_ids,gross_amount,mdr_fee,gst_on_fee,net_amount,utr,settled_date
STL0007,PAY0007,7411.7,148.23,26.68,7236.79,UTR7453914781,2026-06-20
STL0046,PAY0050|PAY0051|PAY0052,9364.62,187.29,33.71,9143.62,UTR4547372211,2026-06-18
STL0017,PAY0017,8649.54,172.99,31.14,8445.41,UTR9726776412,2026-06-03
STL0055,PAY0061,8004.13,160.08,28.81,7815.24,UTR2985433945,2026-06-13
STL0012,PAY0012,13620.3,272.41,49.03,13298.86,UTR9767363842,2026-06-22
STL0006,PAY0006,38912.0,778.24,140.08,37993.68,UTR4095724861,2026-06-10
STL0004,PAY0004,43154.49,863.09,155.36,42136.04,UTR0220212633,2026-06-21
STL0003,PAY0003,5559.41,111.19,20.01,5428.21,UTR8687593586,2026-06-15
STL0054,PAY0060,6457.48,129.15,23.25,6305.08,UTR6915640336,2026-06-08
STL0041,PAY0041,1591.02,31.82,5.73,1553.47,UTR6526716718,2026-06-07
STL0009,PAY0009,38545.64,770.91,138.76,37635.97,UTR4498251982,2026-06-13
STL0052,PAY0058,5544.47,110.89,27.94,5405.64,UTR9766945698,2026-06-17
STL0008,PAY0008,8419.11,168.38,30.31,8220.42,UTR3542596187,2026-06-16
STL0018,PAY0018,3394.92,67.9,12.22,3314.8,UTR0558190156,2026-06-20
STL0045,PAY0047|PAY0048|PAY0049,11370.52,227.41,40.93,11102.18,UTR8720907476,2026-06-15
STL0027,PAY0027,23285.01,465.7,83.83,22735.48,UTR2632073568,2026-06-12
STL0051,PAY0057,8633.13,172.66,31.08,8429.39,UTR2544893667,2026-06-17
STL0048,PAY0054,10912.26,218.25,39.28,-10912.26,UTR9561848544,2026-06-07
STL0037,PAY0037,3582.15,71.64,12.9,3497.61,UTR9085492388,2026-06-16
STL0005,PAY0005,10870.6,217.41,39.13,10614.06,UTR6171396568,2026-06-11
STL0040,PAY0040,28584.92,571.7,102.91,27910.31,UTR0593676791,2026-06-16
STL0026,PAY0026,36959.94,739.2,133.06,36087.68,UTR8882718828,2026-06-13
STL0039,PAY0039,29440.94,588.82,105.99,28746.13,UTR0481234382,2026-06-20
STL0042,PAY0042,28976.9,579.54,104.32,28293.04,UTR5939158263,2026-06-06
STL0034,PAY0034,39031.81,780.64,140.52,38110.65,UTR4591145537,2026-06-10
STL0024,PAY0024,47280.02,945.6,170.21,46164.21,UTR8511387882,2026-06-07
STL0011,PAY0011,40435.35,808.71,145.57,39481.07,UTR8904077145,2026-06-10
STL0002,PAY0002,28281.63,565.63,101.81,27614.19,UTR4428714227,2026-06-23
STL0014,PAY0014,11104.72,222.09,39.98,10842.65,UTR5244063480,2026-06-07
STL0033,PAY0033,30758.06,615.16,110.73,30032.17,UTR8573316888,2026-06-05
STL0028,PAY0028,16891.92,337.84,60.81,16493.27,UTR1921473653,2026-06-03
STL0015,PAY0015,32846.05,656.92,118.25,32070.88,UTR4382144229,2026-06-23
STL0049,PAY0055,3581.09,71.62,12.89,-3581.09,UTR1045618902,2026-06-04
STL0016,PAY0016,22434.97,448.7,80.77,21905.5,UTR6500724489,2026-06-20
STL0013,PAY0013,3669.28,73.39,13.21,3582.68,UTR2206298026,2026-06-03
STL0021,PAY0021,44102.78,882.06,158.77,43061.95,UTR1876960826,2026-06-10
STL0030,PAY0030,16038.82,320.78,57.74,15660.3,UTR5636516371,2026-06-06
STL0025,PAY0025,12851.72,257.03,46.27,12548.42,UTR8461989880,2026-06-06
STL0044,PAY0044|PAY0045|PAY0046,16927.62,338.55,60.94,16528.13,UTR4853292475,2026-06-17
STL0036,PAY0036,22273.69,445.47,80.18,21748.04,UTR3801312434,2026-06-12
STL0022,PAY0022,46977.04,939.54,169.12,45868.38,UTR8712236852,2026-06-07
STL0023,PAY0023,45453.87,909.08,163.63,44381.16,UTR8031914751,2026-06-04
STL0031,PAY0031,28670.71,573.41,103.21,27994.09,UTR3276346579,2026-06-15
STL0035,PAY0035,22407.38,448.15,80.67,21878.56,UTR4184782742,2026-06-19
STL0029,PAY0029,29041.11,580.82,104.55,28355.74,UTR0957763063,2026-06-11
STL0010,PAY0010,32128.0,642.56,115.66,31369.78,UTR3199954139,2026-06-22
STL0032,PAY0032,36930.09,738.6,132.95,36058.54,UTR6609238109,2026-06-05
STL0043,PAY0043,20843.51,416.87,75.04,20351.6,UTR3435388196,2026-06-06
STL0050,PAY0056,6244.22,124.88,22.48,6096.86,UTR2544893667,2026-06-16
STL0038,PAY0038,27141.92,542.84,97.71,26501.37,UTR8424367789,2026-06-20
STL0020,PAY0020,6978.47,139.57,25.12,6813.78,UTR3704990229,2026-06-23
STL0047,PAY0053,2673.77,53.48,9.63,-2673.77,UTR7257598233,2026-06-08
STL0019,PAY0019,12142.59,242.85,43.71,11856.03,UTR5006532632,2026-06-06
STL0001,PAY0001,32151.63,643.03,115.75,31392.85,UTR2117550026,2026-06-03
STL0053,PAY0059,2571.28,51.43,9.26,2510.59,UTR5894434254,2026-06-08
