invoice_id,payment_id,taxable_value,gst_rate,gst_amount,hsn
INV-0001,PAY0006,38912.0,0.18,7004.16,9983
INV-0002,PAY0052,2796.55,0.18,503.38,9983
INV-0003,PAY0037,3582.15,0.18,644.79,9983
INV-0004,PAY0058,5544.47,0.18,998.0,9983
INV-0005,PAY0051,2706.77,0.18,487.22,9983
INV-0006,PAY0033,30758.06,0.18,5536.45,9983
INV-0007,PAY0012,13620.3,0.18,2451.65,9983
INV-0009,PAY0048,1863.8,0.18,335.48,9983
INV-0010,PAY0022,46977.04,0.18,8455.87,9983
INV-0011,PAY0026,36959.94,0.18,6652.79,9983
INV-0012,PAY0007,7411.7,0.18,1334.11,9983
INV-0013,PAY0031,28670.71,0.18,5160.73,9983
INV-0015,PAY0025,12851.72,0.18,2313.31,9983
INV-0016,PAY0057,8633.13,0.18,1553.96,9983
INV-0017,PAY0044,5804.81,0.18,1044.87,9983
INV-0018,PAY0023,45453.87,0.18,8181.7,9983
INV-0019,PAY0045,6003.46,0.18,1080.62,9983
INV-0020,PAY0042,28976.9,0.18,5215.84,9983
INV-0021,PAY0017,8649.54,0.18,1556.92,9983
INV-0022,PAY0010,32128.0,0.18,5783.04,9983
INV-0023,PAY0060,6457.48,0.18,1162.35,9983
INV-0024,PAY0005,10870.6,0.18,1956.71,9983
INV-0025,PAY0021,44102.78,0.18,7938.5,9983
INV-0026,PAY0028,16891.92,0.18,3040.55,9983
INV-0027,PAY0015,32846.05,0.18,5912.29,9983
INV-0028,PAY0046,5119.34,0.18,921.48,9983
INV-0029,PAY0039,29440.94,0.18,5299.37,9983
INV-0030,PAY0038,27141.92,0.18,4885.55,9983
INV-0031,PAY0003,5559.41,0.18,1000.69,9983
INV-0032,PAY0059,2571.28,0.18,462.83,9983
INV-0033,PAY0061,8004.13,0.18,1440.74,9983
INV-0034,PAY0020,6978.47,0.18,1256.12,9983
INV-0035,PAY0011,40435.35,0.18,7278.36,9983
INV-0036,PAY0016,22434.97,0.18,4038.29,9983
INV-0037,PAY0002,28281.63,0.18,5090.69,9983
INV-0038,PAY0008,8419.11,0.18,1515.44,9983
INV-0039,PAY0050,3861.31,0.18,695.04,9983
INV-0040,PAY0047,3022.97,0.18,544.13,9983
INV-0041,PAY0019,12142.59,0.18,2185.67,9983
INV-0042,PAY0009,38545.64,0.18,6938.22,9983
INV-0043,PAY0036,22273.69,0.18,4009.26,9983
INV-0044,PAY0018,3394.92,0.18,611.09,9983
INV-0045,PAY0014,11104.72,0.18,1998.85,9983
INV-0047,PAY0029,29041.11,0.18,5227.4,9983
INV-0048,PAY0041,1591.02,0.18,286.38,9983
INV-0049,PAY0032,36930.09,0.18,6647.42,9983
INV-0050,PAY0049,6483.74,0.18,1167.07,9983
INV-0051,PAY0040,28584.92,0.18,5145.29,9983
INV-0052,PAY0024,47280.02,0.18,8510.4,9983
INV-0053,PAY0034,39031.81,0.18,7025.73,9983
INV-0054,PAY0013,3669.28,0.18,660.47,9983
INV-0055,PAY0004,43154.49,0.18,7767.81,9983
